description	enabled	firstLadderSeason	lastLadderSeason	min diff	version	op	param	value	class	numinputs	input 1	input 2	input 3	input 4	input 5	input 6	input 7	output	lvl	plvl	ilvl	mod 1	mod 1 chance	mod 1 param	mod 1 min	mod 1 max	mod 2	mod 2 chance	mod 2 param	mod 2 min	mod 2 max	mod 3	mod 3 chance	mod 3 param	mod 3 min	mod 3 max	mod 4	mod 4 chance	mod 4 param	mod 4 min	mod 4 max	mod 5	mod 5 chance	mod 5 param	mod 5 min	mod 5 max	output b	b lvl	b plvl	b ilvl	b mod 1	b mod 1 chance	b mod 1 param	b mod 1 min	b mod 1 max	b mod 2	b mod 2 chance	b mod 2 param	b mod 2 min	b mod 2 max	b mod 3	b mod 3 chance	b mod 3 param	b mod 3 min	b mod 3 max	b mod 4	b mod 4 chance	b mod 4 param	b mod 4 min	b mod 4 max	b mod 5	b mod 5 chance	b mod 5 param	b mod 5 min	b mod 5 max	output c	c lvl	c plvl	c ilvl	c mod 1	c mod 1 chance	c mod 1 param	c mod 1 min	c mod 1 max	c mod 2	c mod 2 chance	c mod 2 param	c mod 2 min	c mod 2 max	c mod 3	c mod 3 chance	c mod 3 param	c mod 3 min	c mod 3 max	c mod 4	c mod 4 chance	c mod 4 param	c mod 4 min	c mod 4 max	c mod 5	c mod 5 chance	c mod 5 param	c mod 5 min	c mod 5 max	*eol
1 Socket	1				100	16	362	8		2	"pelt,crf,nos"	jew						"useitem,tmp,nos"				double-stats4	50		0	5	dual-res4	95		0	10	nofreeze	75		1	1	allskills	50		0	1	dru	25		0	1																																																											0
1 Socket	1				100	16	362	10		2	"pelt,crf,nos"	jew						"useitem,tmp,nos"				tri-stats1	50		0	10	dual-res5	95		5	10	nofreeze	85		1	1	allskills	50		1	1	dru	25		0	1																																																											0
2 Socket	1				100	16	362	12		2	"pelt,crf,nos"	jew						"useitem,tmp,nos,sock=3"			99	tri-stats1	50		0	10	tri-res1	15		0	5	nofreeze	95		1	1	allskills	15		0	3	dru	50		0	1																																																											0
1 Socket	1				100	16	362	14		2	"pelt,crf,nos"	jew						"useitem,tmp,nos,sock=3"			99	tri-stats2	50		3	10	tri-res2	25		5	10	nofreeze	95		1	1	allskills	65		0	3	dru	75		1	1																																																											0
1 Socket	1				100	16	362	16		2	"pelt,crf,nos"	jew						"useitem,tmp,nos,sock=3"			99	tri-stats3			5	10	tri-res3	50		15	30	nofreeze			1	1	allskills	95		3	3	dru	85		2	2																																																											0
2 Socket	1				100	16	362	18		2	"pelt,crf,nos"	jew						"useitem,tmp,nos,sock=3"			99	tri-stats4			10	10	tri-res4	75		30	30	nofreeze			1	1	allskills			3	6	dru	95		4	4																																																											0
																																																																																																									0
3 Socket Helm																																																																																																									0
1 Socket	1				100	16	362	2		2	"helm,crf,nos"	jew						"useitem,tmp,nos"				double-stats2	10		0	5	dual-res1	50		0	5	nofreeze	15		1	1	allskills	10		0	1	allskills	10		0	1																																																											0
1 Socket	1				100	16	362	4		2	"helm,crf,nos"	jew						"useitem,tmp,nos"				double-stats2	15		0	5	dual-res2	75		0	5	nofreeze	25		1	1	allskills	15		0	1	allskills	15		0	1																																																											0
2 Socket	1				100	16	362	6		2	"helm,crf,nos"	jew						"useitem,tmp,nos"				double-stats3	25		0	5	dual-res3	85		0	5	nofreeze	50		1	1	allskills	25		0	1	allskills	25		0	1																																																											0
1 Socket	1				100	16	362	8		2	"helm,crf,nos"	jew						"useitem,tmp,nos"				double-stats4	50		0	5	dual-res4	95		0	10	nofreeze	75		1	1	allskills	50		0	1	allskills	50		0	1																																																											0
1 Socket	1				100	16	362	10		2	"helm,crf,nos"	jew						"useitem,tmp,nos"				tri-stats1	50		0	10	dual-res5	95		5	10	nofreeze	85		1	1	allskills	50		1	1	allskills	50		1	1																																																											0
2 Socket	1				100	16	362	12		2	"helm,crf,nos"	jew						"useitem,tmp,nos,sock=2"			99	tri-stats1	50		0	10	tri-res1	15		0	5	nofreeze	95		1	1	allskills	15		0	3	allskills	15		0	3																																																											0
1 Socket	1				100	16	362	14		2	"helm,crf,nos"	jew						"useitem,tmp,nos,sock=2"			99	tri-stats2	50		3	10	tri-res2	25		5	10	nofreeze	95		1	1	allskills	65		1	3	allskills	65		1	3																																																											0
1 Socket	1				100	16	362	16		2	"helm,crf,nos"	jew						"useitem,tmp,nos,sock=2"			99	tri-stats3			5	10	tri-res3	50		15	30	nofreeze			1	1	allskills	95		1	2	allskills	95		1	2																																																											0
2 Socket	1				100	16	362	18		2	"helm,crf,nos"	jew						"useitem,tmp,nos,sock=2"			99	tri-stats4			10	10	tri-res4	75		30	30	nofreeze			1	1	allskills			3	3	allskills			3	3																																																											0
																																																																																																									0
																																																																																																									0
																																																																																																									0
Rings	1				100	16	362	2		2	"ring,crf,nos"	jew						"useitem,tmp,nos"				double-stats2	10		0	5	dual-res1	50		0	5	nofreeze	15		1	1	allskills	10		0	1	lifesteal			0	2																																																											0
Rings	1				100	16	362	4		2	"ring,crf,nos"	jew						"useitem,tmp,nos"				double-stats2	15		0	5	dual-res2	75		0	5	nofreeze	25		1	1	allskills	15		0	1	lifesteal			0	10																																																											0
Rings	1				100	16	362	6		2	"ring,crf,nos"	jew						"useitem,tmp,nos"				double-stats3	25		0	5	dual-res3	85		0	5	nofreeze	50		1	1	allskills	25		0	1	lifesteal			3	9																																																											0
Rings	1				100	16	362	8		2	"ring,crf,nos"	jew						"useitem,tmp,nos"				double-stats4	50		0	5	dual-res4	95		0	10	nofreeze	75		1	1	allskills	50		0	1	lifesteal			6	9																																																											0
Rings	1				100	16	362	10		2	"ring,crf,nos"	jew						"useitem,tmp,nos"				double-stats5	50		0	10	dual-res5	95		5	10	nofreeze	85		1	1	allskills	50		0	1	lifesteal			9	9																																																											0
Rings	1				100	16	362	12		2	"ring,crf,nos"	jew						"useitem,tmp,nos,sock=1"			99	double-stats6	50		0	10	tri-res1	15		0	5	nofreeze	95		1	1	allskills	15		0	1	res-all-max	50	15	15	1																																																											0
Rings	1				100	16	362	14		2	"ring,crf,nos"	jew						"useitem,tmp,nos,sock=1"			99	double-stats7	95		3	10	tri-res2	25		5	10	nofreeze	95		1	1	allskills	65		0	1	mag%	85		0	50																																																											0
Rings	1				100	16	362	16		2	"ring,crf,nos"	jew						"useitem,tmp,nos,sock=1"			99	double-stats8			5	10	tri-res3	50		15	30	nofreeze			1	1	allskills	95		1	1	mag%			50	100																																																											0
Rings	1				100	16	362	18		2	"ring,crf,nos"	jew						"useitem,tmp,nos,sock=1"			99	double-stats9			10	10	tri-res4	75		30	30	nofreeze			1	1	allskills			2	2	mag%			100	100																																																											0
																																																																																																									0
Amulets	1				100	16	362	2		2	"amu,crf,nos"	jew						"useitem,tmp,nos"				double-stats2	10		0	5	dual-res1	50		0	5	regen-mana	25		0	5	hp/lvl	15		0	5	mag%	10		0	10																																																											0
Amulets	1				100	16	362	4		2	"amu,crf,nos"	jew						"useitem,tmp,nos"				double-stats2	15		0	5	dual-res2	75		0	5	red-dmg	25		0	3	hp/lvl	25		0	5	mag%	15		0	20																																																											0
Amulets	1				100	16	362	6		2	"amu,crf,nos"	jew						"useitem,tmp,nos"				double-stats3	25		0	5	dual-res3	85		0	5	red-dmg%	25		0	10	hp/lvl	35		0	5	mag%	25		0	30																																																											0
Amulets	1				100	16	362	8		2	"amu,crf,nos"	jew						"useitem,tmp,nos"				double-stats4	50		0	5	dual-res4	95		0	10	balance1	25		0	25	hp/lvl	35		5	5	mag%	50		0	40																																																											0
Amulets	1				100	16	362	10		2	"amu,crf,nos"	jew						"useitem,tmp,nos"				tri-stats1	50		0	5	dual-res5	95		5	10	balance1	25		0	25	hp/lvl	45		5	5	mag%	50		0	50																																																											0
Amulets	1				100	16	362	12		2	"amu,crf,nos"	jew						"useitem,tmp,nos,sock=1"			99	tri-stats1	50		10	10	tri-res1	15		0	5	red-dmg	25		0	3	hp/lvl	50		7	7	mag%	15		10	60																																																											0
Amulets	1				100	16	362	14		2	"amu,crf,nos"	jew						"useitem,tmp,nos,sock=1"			99	allstats	50		5	20	tri-res2	25		0	10	red-dmg	25		3	5	hp/lvl	75		8	8	mag%	65		10	70																																																											0
Amulets	1				100	16	362	16		2	"amu,crf,nos"	jew						"useitem,tmp,nos,sock=1"			99	allstats	50		10	25	tri-res3	50		5	10	red-dmg	25		5	10	hp/lvl			20	20	mag%	95		50	80																																																											0
Amulets	1				100	16	362	18		2	"amu,crf,nos"	jew						"useitem,tmp,nos,sock=1"			99	allstats	50		25	25	allres	75		10	10	red-dmg%			50	50	hp/lvl			20	20	mag%			100	100																																																											0
																																																																																																									0
2 Socket Belt	0																																																																																																								0
1 Socket	1				100	16	362	2		2	"belt,crf,nos"	jew						"useitem,tmp,nos"				double-stats2	10		0	5	double-stats2	10		0	5	dual-res1	50		0	5																																																																					0
1 Socket	1				100	16	362	4		2	"belt,crf,nos"	jew						"useitem,tmp,nos"				double-stats2	15		0	5	double-stats2	15		0	5	dual-res2	75		0	5	tri-res1	15		0		balance1	25		0	25																																																											0
1 Socket	1				100	16	362	6		2	"belt,crf,nos"	jew						"useitem,tmp,nos"				double-stats3	25		0	5	double-stats3	25		0	10	dual-res3	85		0	5	tri-res2	25		0	5	balance1	25		0	25																																																											0
2 Socket	1				100	16	362	8		2	"belt,crf,nos"	jew						"useitem,tmp,nos"				double-stats4	50		0	5	double-stats4	50		10	10	dual-res4	95		0	10	tri-res3	50		0	5	balance	25		0	25																																																											0
2 Socket	1				100	16	362	10		2	"belt,crf,nos"	jew						"useitem,tmp,nos"				double-stats5	50		0	10	tri-stats1	50		0	5	dual-res5	95		5	10	tri-res4	75		0	5	mag%	25		0	25																																																											0
2 Socket	1				100	16	362	12		2	"belt,crf,nos"	jew						"useitem,tmp,nos,sock=2"			99	double-stats6	50		0	10	tri-stats1	50		0	10	dual-res6	95		7	10	nofreeze	95		1	1	cast1	25		10	25																																																											0
2 Socket	1				100	16	362	14		2	"belt,crf,nos"	jew						"useitem,tmp,nos,sock=2"			99	double-stats7	95		3	10	tri-stats2	50		3	10	dual-res7	95		7	10	nofreeze	95		1	1	cast1	50		15	25																																																											0
2 Socket	1				100	16	362	16		2	"belt,crf,nos"	jew						"useitem,tmp,nos,sock=2"			99	double-stats8			5	10	tri-stats3			5	10	dual-res8			10	10	tri-res3	95		10	10	fireskill	75		1	1																																																											0
2 Socket	1				100	16	362	18		2	"belt,crf,nos"	jew						"useitem,tmp,nos,sock=2"			99	double-stats9			10	10	tri-stats4			10	10	dual-res9			10	10	tri-res4			15	15	allskills	85		2	2																																																											0
																																																																																																									0
3 Socket Gloves																																																																																																									0
1 Socket	1				100	16	362	2		2	"glov,crf,nos"	jew						"useitem,tmp,nos"				double-stats2	10		0	5	double-stats2	10		0	5	dual-res1	50		0	5	swing1	25		0	25	mag%	25		0	25																																																											0
2 Socket	1				100	16	362	4		2	"glov,crf,nos"	jew						"useitem,tmp,nos"				double-stats2	15		0	5	double-stats2	15		0	5	dual-res2	75		0	5	swing1	25		0	25																																																																0
2 Socket	1				100	16	362	6		2	"glov,crf,nos"	jew						"useitem,tmp,nos"				double-stats3	25		0	5	double-stats3	25		0	10	dual-res3	85		0	5	swing1	25		0	25																																																																0
2 Socket	1				100	16	362	8		2	"glov,crf,nos"	jew						"useitem,tmp,nos"				double-stats4	50		0	5	double-stats4	50		10	10	dual-res4	95		0	10	swing1	25		0	25																																																																0
3 Socket	1				100	16	362	10		2	"glov,crf,nos"	jew						"useitem,tmp,nos"				double-stats5	50		0	10	tri-stats1	50		0	5	dual-res5	95		5	10	swing1	25		0	25																																																																0
3 Socket	1				100	16	362	12		2	"glov,crf,nos"	jew						"useitem,tmp,nos,sock=3"			99	double-stats6	50		0	10	tri-stats1	50		0	10	tri-res1	85		0	10	swing1	25		0	25	cast1	25		10	25																																																											0
3 Socket	1				100	16	362	14		2	"glov,crf,nos"	jew						"useitem,tmp,nos,sock=3"			99	double-stats7	95		3	10	tri-stats2	50		3	10	tri-res2	95		5	10	swing1	25		0	25	cast1	50		15	25																																																											0
3 Socket	1				100	16	362	16		2	"glov,crf,nos"	jew						"useitem,tmp,nos,sock=3"			99	double-stats8			5	10	tri-stats3			5	10	tri-res3	95		10	10	swing1	25		0	25	allskills	50		2	2																																																											0
3 Socket	1				100	16	362	18		2	"glov,crf,nos"	jew						"useitem,tmp,nos,sock=3"			99	double-stats9			10	10	tri-stats4			10	10	tri-res4			15	15	swing1	25		0	25	allskills	85		4	4																																																											0
																																																																																																									0
3 Socket Boots																																																																																																									0
1 Socket	1				100	16	362	2		2	"boot,crf,nos"	jew						"useitem,tmp,nos"				double-stats2	10		0	5	dual-res1	50		0	5	move1	25		0	10	balance2	15		20	20	ac%	15		0	5																																																											0
2 Socket	1				100	16	362	4		2	"boot,crf,nos"	jew						"useitem,tmp,nos"				double-stats2	15		0	5	dual-res2	75		0	5	move1	25		0	15	balance2	15		20	20	ac%	15		0	20																																																											0
2 Socket	1				100	16	362	6		2	"boot,crf,nos"	jew						"useitem,tmp,nos"				double-stats3	25		0	5	dual-res3	85		0	5	move1	25		5	20	balance2	15		20	20	ac%	15		0	30																																																											0
2 Socket	1				100	16	362	8		2	"boot,crf,nos"	jew						"useitem,tmp,nos"				double-stats4	50		0	5	dual-res4	95		0	10	move1	25		10	25	balance2	50		20	20	ac%	50		10	30																																																											0
3 Socket	1				100	16	362	10		2	"boot,crf,nos"	jew						"useitem,tmp,nos"				tri-stats1	50		0	5	tri-res4	75		0	5	move1	25		15	30	balance2	85		20	20	ac%	85		30	30																																																											0
3 Socket	1				100	16	362	12		2	"boot,crf,nos"	jew						"useitem,tmp,nos,sock=3"			99	tri-stats1	50		0	10	tri-res1	85		0	10	move1	25		20	35	balance2			20	20	allskills	50		0	1																																																											0
3 Socket	1				100	16	362	14		2	"boot,crf,nos"	jew						"useitem,tmp,nos,sock=3"			99	tri-stats2	50		3	10	tri-res2	95		5	10	move1	50		25	40	balance2			20	20	allskills	75		1	1																																																											0
3 Socket	1				100	16	362	16		2	"boot,crf,nos"	jew						"useitem,tmp,nos,sock=3"			99	tri-stats3			5	10	tri-res3	95		10	10	move1	50		30	45	balance2			20	20	allskills	85		0	3																																																											0
3 Socket	1				100	16	362	18		2	"boot,crf,nos"	jew						"useitem,tmp,nos,sock=3"			99	tri-stats4			10	10	tri-res4			15	15	move1	85		35	50	balance2			20	20	allskills	95		3	3																																																											0
